"ID_BE"|"URL"|"NAME_HN"|"ID_PAT_GR"|"WS_BEW"|"DATUM_BE_VOM"|"NAME_ZVT_BEST"|"ZVT_ZN_A"|"ZVT_ZN_w"|"ATC"
"964"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/929/"|"Triumeq"|"1753"|"Dolutegravir/Abacavir/Lamivudin"|"2023-08-17"|"Abacavir + Lamivudin oder Abacavir+ Emtricitabin jeweils in Kombination mit

-	Lopinavir/Ritonavir oder
-	Raltegravir oder
-	Nevirapin oder
-	Atazanavir + Ritonavir oder
-	Darunavir + Ritonavir

oder Dolutegravir + Abacavir + Emtricitabin"|"ist nicht belegt"|NA|"J05AR13"
"964"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/929/"|"Triumeq"|"1829"|"Dolutegravir/Abacavir/Lamivudin"|"2023-08-17"|"Abacavir + Lamivudin oder Abacavir+ Emtricitabin jeweils in Kombination mit

-	Atazanavir + Ritonavir oder
-	Darunavir + Ritonavir

oder Dolutegravir + Abacavir + Emtricitabin"|"ist nicht belegt"|NA|"J05AR13"
"964"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/929/"|"Triumeq"|"1830"|"Dolutegravir/Abacavir/Lamivudin"|"2023-08-17"|"Eine patientenindividuelle antiretrovirale Therapie unter Auswahl der zugelassenen Wirkstoffe; unter Berücksichtigung der Vortherapie(n) und des Grundes für den Therapiewechsel, insbesondere Therapieversagen aufgrund eines virologischen Versagens und etwaig einhergehender Resistenzbildung oder aufgrund von Nebenwirkungen."|"ist nicht belegt"|NA|"J05AR13"
"965"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/928/"|"Kerendia"|"1754"|"Finerenon"|"2023-08-17"|"Eine optimierte Standardtherapie zur Behandlung der chronischen Nierenerkrankung und des Diabetes mellitus Typ 2 unter Berücksichtigung der Grunderkrankung(en) und häufiger Komorbiditäten (wie Dyslipoproteinämie, Hypertonie, Anämie, Herzinsuffizienz)."|"ist nicht belegt"|NA|"C03DA05"
"966"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/927/"|"Kerendia"|"1755"|"Finerenon"|"2023-08-17"|"Eine optimierte Standardtherapie zur Behandlung der chronischen Nierenerkrankung und des Diabetes mellitus Typ 2 unter Berücksichtigung der Grunderkrankung(en) und häufiger Komorbiditäten (wie Dyslipoproteinämie, Hypertonie, Anämie, Herzinsuffizienz)."|"nicht quantifizierbar"|"Anhaltspunkt"|"C03DA05"
"967"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/926/"|"Hemlibra"|"1756"|"Emicizumab"|"2023-08-17"|"Plasmatische oder rekombinante Blutgerinnungsfaktor-VIII-Präparate, eingesetzt als Routineprophylaxe"|"ist nicht belegt"|NA|"B02BX06"
"968"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/925/"|"Lupkynis"|"1757"|"Voclosporin"|"2023-08-17"|"Patientenindividuelle Therapie unter Berücksichtigung ggf. der Vortherapie und der Krankheitsaktivität unter Auswahl der folgenden Wirkstoffe:"|"ist nicht belegt"|NA|"L04AD03"
"970"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/948/"|"Sotyktu"|"1845"|"Deucravacitinib"|"2023-10-05"|"Adalimumab oder Bimekizumab oder Guselkumab oder Ixekizumab oder Secukinumab"|"ist nicht belegt"|NA|"L04AF07"
"970"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/948/"|"Sotyktu"|"1846"|"Deucravacitinib"|"2023-10-05"|"Adalimumab oder Bimekizumab oder Brodalumab oder Guselkumab oder Infliximab oder Ixekizumab oder Risankizumab oder Secukinumab oder Ustekinumab"|"ist nicht belegt"|NA|"L04AF07"
"971"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/940/"|"Reblozyl"|"1791"|"Luspatercept"|"2023-09-21"|"Eine bedarfsgerechte Transfusionstherapie mit Erythrozytenkonzentraten in Kombination mit einer Chelattherapie gemäß der Zulassung, vorzugsweise als Monotherapie"|"gering"|"Hinweis"|"B03XA06"
"972"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/949/"|"Rayvow"|"1831"|"Lasmiditan"|"2023-10-05"|"Eine patientenindividuelle Therapie unter Berücksichtigung der Vorbehandlung, der Schwere des Anfalls sowie bestehender Begleiterkrankungen unter Auswahl selektiver Serotonin-5HT1-Rezeptoragonisten (Almotriptan, Eletriptan, Frovatriptan, Naratriptan, Rizatriptan, Sumatriptan, Zolmitriptan) und nicht-steroidaler Antirheumatika (Acetylsalicylsäure, Diclofenac, Ibuprofen)"|"ist nicht belegt"|NA|"N02CC08"
"960"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/931/"|"Spravato"|"1833"|"Esketamin"|"2023-09-21"|"- Augmentation mit Lithium* bzw. Quetiapin retard* oder Kombination zweier Antidepressiva

* Als Add-On zu der zuletzt gegebenen antidepressiven Monotherapie."|"beträchtlich"|"Anhaltspunkt"|"N06AX27"
"974"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/936/"|"Lynparza"|"1792"|"Olaparib"|"2023-09-21"|"Niraparib"|"ist nicht belegt"|NA|"L01XK01"
"975"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/934/"|"Nubeqa"|"1793"|"Darolutamid"|"2023-09-21"|"- die konventionelle Androgendeprivation in Kombination mit Apalutamid
oder
- die konventionelle Androgendeprivation in Kombination mit Enzalutamid
oder
- die konventionelle Androgendeprivation in Kombination mit Abirateronacetat und Prednison oder Prednisolon (nur für Patienten mit neu diagnostiziertem Hochrisiko-Prostatakarzinom)
oder
- die konventionelle Androgendeprivation in Kombination mit Docetaxel mit oder ohne Prednison oder Prednisolon"|"beträchtlich"|"Hinweis"|"L02BB06"
"977"|"https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/954/"|"Rinvoq"|"1805"|"Upadacitinib"|"2023-10-19"|"Ein TNF-α-Antagonist* (Adalimumab oder Infliximab) oder Integrin-Inhibitor (Vedolizumab) oder Interleukin-Inhibitor (Ustekinumab)

* Die Anwendungsgebiete der TNF-α-Inhibitoren setzen voraus, dass die Patienten auf eine vollständige und adäquate Therapie mit einem Kortikosteroid und/oder einem Immunsuppressivum (konventionelle Therapie) nicht ausreichend angesprochen oder eine Unverträglichkeit oder eine Kontraindikation für solche Therapien haben (Fachinformation Humira® Stand Januar 2017)."|"ist nicht belegt"|NA|"L04AF03"
